Team,MP,W,D,L,GF,GA,Pts,GD
Real Madrid,8,8,0,0,16,8,24,8
Barcelona,8,8,0,0,16,8,24,8
Sociedad,8,7,0,1,15,9,21,6
Ath Madrid,7,6,0,1,13,8,18,5
Girona,8,5,0,3,13,11,15,2
Alaves,8,4,2,2,12,10,14,2
Betis,8,4,1,3,12,11,13,1
Almeria,8,4,0,4,12,12,12,0
Villarreal,8,4,0,4,12,12,12,0
Cadiz,8,3,1,4,11,12,10,-1
Celta,8,3,0,5,11,13,9,-2
Getafe,8,3,0,5,11,13,9,-2
Sevilla,7,2,2,3,9,10,8,-1
Granada,8,2,2,4,10,12,8,-2
Valencia,8,2,2,4,10,12,8,-2
Ath Bilbao,8,2,1,5,10,13,7,-3
Vallecano,8,1,2,5,9,13,5,-4
Las Palmas,8,1,2,5,9,13,5,-4
Osasuna,8,1,1,6,9,14,4,-5
Mallorca,8,0,2,6,8,14,2,-6
